26.8086 31.6892 32.7079 1.0 753.0 0.0
26.8086 31.6892 32.7079 1.0 756.0 0.0
26.8086 31.6892 32.7079 1.0 759.0 0.0
26.8086 31.6892 32.7079 1.0 762.0 0.0
26.8086 31.6892 32.7079 1.0 765.0 0.0
26.8086 31.6892 32.7079 1.0 768.0 0.0
26.8086 31.6892 32.7079 1.0 771.0 0.0
26.8086 31.6892 32.7079 1.0 774.0 0.0
26.8086 31.6892 32.7079 1.0 777.0 0.0
26.8086 31.6892 32.7079 1.0 780.0 0.0
26.8086 31.6892 32.7079 1.0 783.0 0.0
26.8086 31.6892 32.7079 1.0 786.0 0.0
26.8086 31.6892 32.7079 1.0 789.0 0.0
26.8086 31.6892 32.7079 1.0 792.0 0.0
26.8086 31.6892 32.7079 1.0 795.0 0.0
26.8086 31.6892 32.7079 1.0 798.0 0.0
26.8086 31.6892 32.7079 1.0 800.0 0.0
26.8086 31.6892 32.7079 1.0 810.0 0.0
26.8086 31.6892 32.7079 1.0 820.0 0.0
26.8086 31.6892 32.7079 1.0 830.0 0.0
26.8086 31.6892 32.7079 1.0 840.0 0.0
26.8086 31.6892 32.7079 1.0 850.0 0.0
26.8086 31.6892 32.7079 1.0 860.0 0.0
26.8086 31.6892 32.7079 1.0 870.0 0.0
26.8086 31.6892 32.7079 1.0 880.0 0.0
26.8086 31.6892 32.7079 1.0 890.0 0.0
26.8086 31.6892 32.7079 1.0 900.0 0.0
26.8086 31.6892 32.7079 1.0 910.0 0.0
26.8086 31.6892 32.7079 1.0 920.0 0.0
26.8086 31.6892 32.7079 1.0 930.0 0.0
26.8086 31.6892 32.7079 1.0 940.0 0.0
26.8086 31.6892 32.7079 1.0 950.0 0.0
26.8086 31.6892 32.7079 1.0 960.0 0.0
26.8086 31.6892 32.7079 1.0 970.0 0.0
26.8086 31.6892 32.7079 1.0 980.0 0.0
26.8086 31.6892 32.7079 1.0 990.0 0.0
26.8086 31.6892 32.7079 1.0 1000.0 0.0
26.8086 31.6892 32.7079 1.0 1010.0 0.0
26.8086 31.6892 32.7079 1.0 1020.0 0.0
26.8086 31.6892 32.7079 1.0 1030.0 0.0
26.8086 31.6892 32.7079 1.0 1040.0 0.0
26.8086 31.6892 32.7079 1.0 1050.0 0.0
26.8086 31.6892 32.7079 1.0 1060.0 0.0
26.8086 31.6892 32.7079 1.0 1070.0 0.0
26.8086 31.6892 32.7079 1.0 1080.0 0.0
26.8086 31.6892 32.7079 1.0 1090.0 0.0
26.8086 31.6892 32.7079 1.0 1100.0 0.0
26.8086 31.6892 32.7079 1.0 1110.0 0.0
26.8086 31.6892 32.7079 1.0 1120.0 0.0
26.8086 31.6892 32.7079 1.0 1130.0 0.0
26.8086 31.6892 32.7079 1.0 1140.0 0.0
26.8086 31.6892 32.7079 1.0 1150.0 0.0
26.8086 31.6892 32.7079 1.0 1160.0 0.0
26.8086 31.6892 32.7079 1.0 1170.0 0.0
26.8086 31.6892 32.7079 1.0 1180.0 0.0
26.8086 31.6892 32.7079 1.0 1190.0 0.0
26.8086 31.6892 32.7079 1.0 1200.0 0.0
26.8086 31.6892 32.7079 1.0 1210.0 0.0
26.8086 31.6892 32.7079 1.0 1220.0 0.0
26.8086 31.6892 32.7079 1.0 1230.0 0.0
26.8086 31.6892 32.7079 1.0 1240.0 0.0
26.8086 31.6892 32.7079 1.0 1250.0 0.0
26.8086 31.6892 32.7079 1.0 1260.0 0.0
26.8086 31.6892 32.7079 1.0 1270.0 0.0
26.8086 31.6892 32.7079 1.0 1280.0 0.0
26.8086 31.6892 32.7079 1.0 1290.0 0.0
26.8086 31.6892 32.7079 1.0 1300.0 0.0
26.8086 31.6892 32.7079 1.0 1310.0 0.0
26.8086 31.6892 32.7079 1.0 1320.0 0.0
26.8086 31.6892 32.7079 1.0 1330.0 0.0
26.8086 31.6892 32.7079 1.0 1340.0 0.0
26.8086 31.6892 32.7079 1.0 1350.0 0.0
26.8086 31.6892 32.7079 1.0 1360.0 0.0
26.8086 31.6892 32.7079 1.0 1370.0 0.0
26.8086 31.6892 32.7079 1.0 1380.0 0.0
26.8086 31.6892 32.7079 1.0 1390.0 0.0
26.8086 31.6892 32.7079 1.0 1400.0 0.0
26.8086 31.6892 32.7079 1.0 1410.0 0.0
26.8086 31.6892 32.7079 1.0 1420.0 0.0
26.8086 31.6892 32.7079 1.0 1430.0 0.0
26.8086 31.6892 32.7079 1.0 1440.0 0.0
26.8086 31.6892 32.7079 1.0 1450.0 0.0
26.8086 31.6892 32.7079 1.0 1460.0 0.0
26.8086 31.6892 32.7079 1.0 1470.0 0.0
26.8086 31.6892 32.7079 1.0 1480.0 0.0
26.8086 31.6892 32.7079 1.0 1490.0 0.0
26.8086 31.6892 32.7079 1.0 1500.0 0.0
26.8086 31.6892 32.7079 1.0 1510.0 0.0
26.8086 31.6892 32.7079 1.0 1520.0 0.0
26.8086 31.6892 32.7079 1.0 1530.0 0.0
26.8086 31.6892 32.7079 1.0 1540.0 0.0
26.8086 31.6892 32.7079 1.0 1550.0 0.0
26.8086 31.6892 32.7079 1.0 1560.0 0.0
26.8086 31.6892 32.7079 1.0 1570.0 0.0
26.8086 31.6892 32.7079 1.0 1580.0 0.0
26.8086 31.6892 32.7079 1.0 1590.0 0.0
26.8086 31.6892 32.7079 1.0 1600.0 0.0
26.8086 31.6892 32.7079 1.0 1610.0 0.0
26.8086 31.6892 32.7079 1.0 1620.0 0.0
26.8086 31.6892 32.7079 1.0 1630.0 0.0
26.8086 31.6892 32.7079 1.0 1640.0 0.0
26.8086 31.6892 32.7079 1.0 1650.0 0.0
26.8086 31.6892 32.7079 1.0 1660.0 0.0
26.8086 31.6892 32.7079 1.0 1670.0 0.0
26.8086 31.6892 32.7079 1.0 1680.0 0.0
26.8086 31.6892 32.7079 1.0 1690.0 0.0
26.8086 31.6892 32.7079 1.0 1700.0 0.0
26.8086 31.6892 32.7079 1.0 1710.0 0.0
26.8086 31.6892 32.7079 1.0 1720.0 0.0
26.8086 31.6892 32.7079 1.0 1730.0 0.0
26.8086 31.6892 32.7079 1.0 1740.0 0.0
26.8086 31.6892 32.7079 1.0 1750.0 0.0
26.8086 31.6892 32.7079 1.0 1760.0 0.0
26.8086 31.6892 32.7079 1.0 1770.0 0.0
26.8086 31.6892 32.7079 1.0 1780.0 0.0
26.8086 31.6892 32.7079 1.0 1790.0 0.0
26.8086 31.6892 32.7079 1.0 1800.0 0.0
26.8086 31.6892 32.7079 1.0 1810.0 0.0
26.8086 31.6892 32.7079 1.0 1820.0 0.0
26.8086 31.6892 32.7079 1.0 1830.0 0.0
26.8086 31.6892 32.7079 1.0 1840.0 0.0
26.8086 31.6892 32.7079 1.0 1850.0 0.0
26.8086 31.6892 32.7079 1.0 1860.0 0.0
26.8086 31.6892 32.7079 1.0 1870.0 0.0
26.8086 31.6892 32.7079 1.0 1880.0 0.0
26.8086 31.6892 32.7079 1.0 1890.0 0.0
26.8086 31.6892 32.7079 1.0 1900.0 0.0
26.8086 31.6892 32.7079 1.0 1910.0 0.0
26.8086 31.6892 32.7079 1.0 1920.0 0.0
26.8086 31.6892 32.7079 1.0 1930.0 0.0
26.8086 31.6892 32.7079 1.0 1940.0 0.0
26.8086 31.6892 32.7079 1.0 1950.0 0.0
26.8086 31.6892 32.7079 1.0 1960.0 0.0
26.8086 31.6892 32.7079 1.0 1970.0 0.0
26.8086 31.6892 32.7079 1.0 1980.0 0.0
26.8086 31.6892 32.7079 1.0 1990.0 0.0
26.8086 31.6892 32.7079 1.0 2000.0 0.0
26.8086 31.6892 32.7079 1.0 2010.0 0.0
26.8086 31.6892 32.7079 1.0 2020.0 0.0
26.8086 31.6892 32.7079 1.0 2030.0 0.0
26.8086 31.6892 32.7079 1.0 2040.0 0.0
26.8086 31.6892 32.7079 1.0 2050.0 0.0
26.8086 31.6892 32.7079 1.0 2060.0 0.0
26.8086 31.6892 32.7079 1.0 2070.0 0.0
26.8086 31.6892 32.7079 1.0 2080.0 0.0
26.8086 31.6892 32.7079 1.0 2090.0 0.0
26.8086 31.6892 32.7079 1.0 2100.0 0.0
26.8086 31.6892 32.7079 1.0 2110.0 0.0
26.8086 31.6892 32.7079 1.0 2120.0 0.0
26.8086 31.6892 32.7079 1.0 2130.0 0.0
26.8086 31.6892 32.7079 1.0 2140.0 0.0
26.8086 31.6892 32.7079 1.0 2150.0 0.0
26.8086 31.6892 32.7079 1.0 2160.0 0.0
26.8086 31.6892 32.7079 1.0 2170.0 0.0
26.8086 31.6892 32.7079 1.0 2180.0 0.0
26.8086 31.6892 32.7079 1.0 2190.0 0.0
26.8086 31.6892 32.7079 1.0 2200.0 0.0
26.8086 31.6892 32.7079 1.0 2210.0 0.0
26.8086 31.6892 32.7079 1.0 2220.0 0.0
26.8086 31.6892 32.7079 1.0 2230.0 0.0
26.8086 31.6892 32.7079 1.0 2240.0 0.0
26.8086 31.6892 32.7079 1.0 2250.0 0.0
26.8086 31.6892 32.7079 1.0 2260.0 0.0
26.8086 31.6892 32.7079 1.0 2270.0 0.0
26.8086 31.6892 32.7079 1.0 2280.0 0.0
26.8086 31.6892 32.7079 1.0 2290.0 0.0
26.8086 31.6892 32.7079 1.0 2300.0 0.0
26.8086 31.6892 32.7079 1.0 2310.0 0.0
26.8086 31.6892 32.7079 1.0 2320.0 0.0
26.8086 31.6892 32.7079 1.0 2330.0 0.0
26.8086 31.6892 32.7079 1.0 2340.0 0.0
26.8086 31.6892 32.7079 1.0 2350.0 0.0
26.8086 31.6892 32.7079 1.0 2360.0 0.0
26.8086 31.6892 32.7079 1.0 2370.0 0.0
26.8086 31.6892 32.7079 1.0 2380.0 0.0
26.8086 31.6892 32.7079 1.0 2390.0 0.0
26.8086 31.6892 32.7079 1.0 2400.0 0.0
26.8086 31.6892 32.7079 1.0 2410.0 0.0
26.8086 31.6892 32.7079 1.0 2420.0 0.0
26.8086 31.6892 32.7079 1.0 2430.0 0.0
26.8086 31.6892 32.7079 1.0 2440.0 0.0
26.8086 31.6892 32.7079 1.0 2450.0 0.0
26.8086 31.6892 32.7079 1.0 2460.0 0.0
26.8086 31.6892 32.7079 1.0 2470.0 0.0
26.8086 31.6892 32.7079 1.0 2480.0 0.0
26.8086 31.6892 32.7079 1.0 2490.0 0.0
